latitude: 31.888493450187475, longitude: 118.81136758869901, altitude: 50.3
latitude: 31.888498284883877, longitude: 118.8113636913655, altitude: 50.2
latitude: 31.88850262234525, longitude: 118.8113598919022, altitude: 50.2
latitude: 31.888506909450022, longitude: 118.8113563923456, altitude: 50.2
latitude: 31.88851056008951, longitude: 118.81135295058283, altitude: 50.2
latitude: 31.888514252158824, longitude: 118.81134986748917, altitude: 50.2
latitude: 31.888517407627923, longitude: 118.81134678005695, altitude: 50.2
latitude: 31.888520491768507, longitude: 118.81134411609003, altitude: 50.2
latitude: 31.888523035213847, longitude: 118.81134146075989, altitude: 50.2
latitude: 31.888525528242635, longitude: 118.81133921797796, altitude: 50.1
latitude: 31.88852750948111, longitude: 118.8113369396197, altitude: 50.1
latitude: 31.888529460392533, longitude: 118.81133514443762, altitude: 50.1
latitude: 31.888531130007774, longitude: 118.81133328060517, altitude: 50.1
latitude: 31.888532597751137, longitude: 118.81133194870239, altitude: 50.1
latitude: 31.8885338500354, longitude: 118.81133067749931, altitude: 50.1
latitude: 31.888534835458817, longitude: 118.81132982181082, altitude: 50.1
latitude: 31.88853562281407, longitude: 118.81132897925919, altitude: 50.1
latitude: 31.888536122148064, longitude: 118.81132856550013, altitude: 50.1
latitude: 31.888536493937135, longitude: 118.81132806305253, altitude: 50.1
latitude: 31.88853655448848, longitude: 118.81132802576094, altitude: 50.1
latitude: 31.888536492172445, longitude: 118.81132793979654, altitude: 50.1
latitude: 31.888536209085803, longitude: 118.81132819314921, altitude: 50.1
latitude: 31.888535812486914, longitude: 118.81132807108382, altitude: 50.1
latitude: 31.888535274310396, longitude: 118.81132854967929, altitude: 50.1
latitude: 31.888534959303232, longitude: 118.81132881380778, altitude: 50.1
latitude: 31.888534295535052, longitude: 118.81132948566159, altitude: 50.1
latitude: 31.888534912099306, longitude: 118.81132999872351, altitude: 50.1
latitude: 31.888534291131652, longitude: 118.81133074955963, altitude: 50.1
latitude: 31.888533688137493, longitude: 118.81133084926616, altitude: 50.2
latitude: 31.888533002900505, longitude: 118.81133158169865, altitude: 50.2
latitude: 31.888532333820798, longitude: 118.81133193346642, altitude: 50.2
latitude: 31.88853164546542, longitude: 118.81133266135853, altitude: 50.2
latitude: 31.88853070964478, longitude: 118.81133352465459, altitude: 50.2
latitude: 31.888530047384368, longitude: 118.8113342746835, altitude: 50.2
latitude: 31.88852962066399, longitude: 118.8113349080552, altitude: 50.2
latitude: 31.888529036020252, longitude: 118.8113356169383, altitude: 50.2
latitude: 31.888528524949578, longitude: 118.81133627601857, altitude: 50.2
latitude: 31.88852798565076, longitude: 118.81133687300677, altitude: 50.2
latitude: 31.88852770834678, longitude: 118.81133711413075, altitude: 50.2
latitude: 31.888527228999564, longitude: 118.81133750518792, altitude: 50.2
latitude: 31.888526625688417, longitude: 118.81133755101541, altitude: 50.2
latitude: 31.888526167373097, longitude: 118.81133766801575, altitude: 50.2
latitude: 31.888525805975814, longitude: 118.81133756405139, altitude: 50.2
latitude: 31.888525399721914, longitude: 118.81133732216067, altitude: 50.2
latitude: 31.88852494978508, longitude: 118.81133667004234, altitude: 50.2
latitude: 31.888524574355117, longitude: 118.8113359337153, altitude: 50.2
latitude: 31.888524047084317, longitude: 118.81133471074116, altitude: 50.2
latitude: 31.888523677205747, longitude: 118.81133336313893, altitude: 50.2
latitude: 31.888523207916155, longitude: 118.81133136002818, altitude: 50.2
latitude: 31.888522841061718, longitude: 118.81132931672002, altitude: 50.2
latitude: 31.888522306509007, longitude: 118.81132671470407, altitude: 50.3
latitude: 31.888521930445084, longitude: 118.81132395078859, altitude: 50.2
latitude: 31.888521366507696, longitude: 118.81132056110903, altitude: 50.3
latitude: 31.8885209767709, longitude: 118.81131707818035, altitude: 50.3
latitude: 31.88852056851234, longitude: 118.81131337662771, altitude: 50.3
latitude: 31.888520194941403, longitude: 118.81130950774727, altitude: 50.3
latitude: 31.888519650973596, longitude: 118.81130559344295, altitude: 50.3
latitude: 31.888519287785815, longitude: 118.8113015819948, altitude: 50.3
latitude: 31.888518944576195, longitude: 118.81129811508853, altitude: 50.2
latitude: 31.88851860406517, longitude: 118.81129397392708, altitude: 50.2
latitude: 31.888518217164037, longitude: 118.81129037296893, altitude: 50.2
latitude: 31.888517893315747, longitude: 118.81128610713893, altitude: 50.2
latitude: 31.888517302812204, longitude: 118.81128226342223, altitude: 50.2
latitude: 31.888516968503655, longitude: 118.81127790315256, altitude: 50.2
latitude: 31.888516529421167, longitude: 118.81127392215521, altitude: 50.2
latitude: 31.888516200235653, longitude: 118.81126945792111, altitude: 50.2
latitude: 31.88851573660025, longitude: 118.8112652924636, altitude: 50.2
latitude: 31.888515411466916, longitude: 118.81126071086598, altitude: 50.2
latitude: 31.888515099132622, longitude: 118.81125614644105, altitude: 50.2
latitude: 31.888514796778843, longitude: 118.81125143545292, altitude: 50.2
latitude: 31.888514307254077, longitude: 118.8112468588194, altitude: 50.2
latitude: 31.888514007984405, longitude: 118.8112420312951, altitude: 50.2
latitude: 31.888513523137203, longitude: 118.81123725950638, altitude: 50.2
latitude: 31.888513231997567, longitude: 118.81123230448844, altitude: 50.1
latitude: 31.888512901321416, longitude: 118.81122732450854, altitude: 50.1
latitude: 31.888512631856198, longitude: 118.81122224659792, altitude: 50.1
latitude: 31.88851227239505, longitude: 118.81121708213769, altitude: 50.1
latitude: 31.88851200736752, longitude: 118.81121188317067, altitude: 50.1
latitude: 31.888511581846533, longitude: 118.81120673206924, altitude: 50.1
latitude: 31.888511310839267, longitude: 118.81120142407275, altitude: 50.1
latitude: 31.88851100049251, longitude: 118.81119607039005, altitude: 50.1
latitude: 31.88851073454831, longitude: 118.81119064571611, altitude: 50.1
latitude: 31.888510244295354, longitude: 118.81118507667858, altitude: 50.2
latitude: 31.888509960857423, longitude: 118.81117954247071, altitude: 50.1
latitude: 31.88850964394838, longitude: 118.81117396302061, altitude: 50.2
latitude: 31.888509363406083, longitude: 118.81116837900991, altitude: 50.2
latitude: 31.888508884906997, longitude: 118.811162827367, altitude: 50.2
latitude: 31.88850858799324, longitude: 118.81115725187202, altitude: 50.2
latitude: 31.888508297093487, longitude: 118.81115183623847, altitude: 50.2
latitude: 31.888508012301976, longitude: 118.81114629500816, altitude: 50.2
latitude: 31.88850757536122, longitude: 118.81114081956281, altitude: 50.2
latitude: 31.8885072920518, longitude: 118.81113530202312, altitude: 50.2
latitude: 31.888506887965345, longitude: 118.81112980022341, altitude: 50.2
